brand,family,model,approx_era,status,host,max_sample_rate_khz,bit_depth,analog_output_summary,da_dynamic_range_dba,da_thdn_db,max_output_dbu,output_impedance_ohm,independent_measurement,measurement_source,confidence,modeling_note
RME,Digi series,Digi96/8 PST,1999-2002,legacy,PCI,96,24,stereo analog out,,,,,not_located,,medium,early PCI baseline; verify manual
RME,Multiface,Multiface I,2001-2005,legacy,PCI/CardBus+breakout,96,24,8 line out,,,,,available,RMAA/user archives,low,measurement conditions need verification
RME,Multiface,Multiface II,2005-2012,legacy,PCI/ExpressCard+breakout,192,24,8 line out,,,,,available,RMAA/user archives,low,revision-sensitive
RME,Fireface,Fireface 800,2004-2018,legacy,FireWire,192,24,8 line+monitor out,119,-100,+17,75,available,Sound On Sound/RMAA archives,medium,important early Fireface reference
RME,Fireface,Fireface 400,2006-2017,legacy,FireWire,192,24,6 line out,119,-100,+17,75,available,RMAA/user archives,low,confirm load and bandwidth
RME,Fireface,Fireface UC,2009-,current_or_long_running,USB 2,192,24,6 line out,115,-100,+19,75,available,Julian Krause/user analyzers,medium,hardware revisions possible
RME,Fireface,Fireface UCX,2012-2021,legacy,USB/FireWire,192,24,6 line out,115,-100,+19,75,available,ASR/forum analyzer posts,medium,pre-FS generation
RME,Fireface,Fireface UCX II,2021-,current,USB 2,192,24,6 line out,118,-104,+19,100,available,Julian Krause/independent,medium,measure reference level states
RME,Fireface,Fireface UFX,2010-2016,legacy,USB/FireWire,192,24,8 line out,118,-100,+19,75,limited,,medium,flagship first generation
RME,Fireface,Fireface UFX+,2016-2023,legacy,USB 3/Thunderbolt,192,24,8 line out,118,-104,+19,75,limited,,medium,MADI generation
RME,Fireface,Fireface UFX II,2017-2023,legacy,USB 2,192,24,8 line out,118,-104,+19,75,limited,,medium,verify against UFX III
RME,Fireface,Fireface UFX III,2023-,current,USB 3,192,24,8 line out,120,-110,+24,100,limited,,medium,current flagship interface
RME,Babyface,Babyface,2011-2015,legacy,USB 2,192,24,breakout line out,,,,,available,ASR/RMAA archives,low,distinguish original from Pro
RME,Babyface,Babyface Pro,2015-2019,legacy,USB 2,192,24,2 XLR line out,115,-102,+19,300,available,ASR/Julian Krause,high,pre-FS comparison
RME,Babyface,Babyface Pro FS,2020-,current,USB 2,192,24,2 XLR line out,118,-102,+19,300,available,Audio Science Review; RME official,high,+19/+4 modes and production DAC revision
RME,MADI,MADIface Pro,2016-,current,USB 2,192,24,2 XLR line out,118,-102,+19,300,limited,,medium,Babyface-derived analog section
RME,MADI,MADIface XT II,2023-,current,USB 3,192,24,multichannel analog out,,,,,not_located,,medium,mostly digital interface
RME,Digiface,Digiface USB,2017-,current,USB 2,192,24,headphone only,,,,2,limited,,medium,headphone D/A only
Focusrite,Scarlett,Scarlett 2i2 1st Gen,2011-2014,legacy,USB 2,96,24,2 monitor out,,,,,available,Julian Krause/RMAA,medium,establish early Scarlett baseline
Focusrite,Scarlett,Scarlett 2i4 1st Gen,2011-2014,legacy,USB 2,96,24,4 line out,,,,,limited,,low,
Focusrite,Scarlett,Scarlett 6i6 1st Gen,2011-2014,legacy,USB 2,96,24,4 line out,,,,,limited,,low,
Focusrite,Scarlett,Scarlett 8i6 1st Gen,2011-2014,legacy,USB 2,96,24,6 line out,,,,,limited,,low,
Focusrite,Scarlett,Scarlett 18i6 1st Gen,2011-2014,legacy,USB 2,96,24,6 line out,,,,,limited,,low,
Focusrite,Scarlett,Scarlett 18i8 1st Gen,2013-2016,legacy,USB 2,96,24,4 line out,,,,,limited,,low,
Focusrite,Scarlett,Scarlett 18i20 1st Gen,2013-2016,legacy,USB 2,96,24,10 line out,,,,,limited,,low,
Focusrite,Scarlett,Scarlett Solo 2nd Gen,2016-2019,legacy,USB 2,192,24,2 monitor out,106,,+10,,available,Julian Krause,medium,
Focusrite,Scarlett,Scarlett 2i2 2nd Gen,2016-2019,legacy,USB 2,192,24,2 monitor out,106,,+10,,available,Julian Krause,medium,
Focusrite,Scarlett,Scarlett 2i4 2nd Gen,2016-2019,legacy,USB 2,192,24,4 line out,,,,,available,Julian Krause,medium,
Focusrite,Scarlett,Scarlett 6i6 2nd Gen,2016-2019,legacy,USB 2,192,24,4 line out,,,,,limited,,low,
Focusrite,Scarlett,Scarlett 18i8 2nd Gen,2016-2019,legacy,USB 2,192,24,4 line out,,,,,limited,,low,
Focusrite,Scarlett,Scarlett 18i20 2nd Gen,2016-2019,legacy,USB 2,192,24,10 line out,,,,,limited,,low,
Focusrite,Scarlett,Scarlett Solo 3rd Gen,2019-2023,legacy,USB 2,192,24,2 monitor out,108,,+15.5,430,available,Julian Krause,high,
Focusrite,Scarlett,Scarlett 2i2 3rd Gen,2019-2023,legacy,USB 2,192,24,2 monitor out,108.5,-94,+15.5,430,available,Audio Science Review; Julian Krause,high,large installed base
Focusrite,Scarlett,Scarlett 4i4 3rd Gen,2019-2023,legacy,USB 2,192,24,4 line out,108.5,-94,+15.5,430,available,loopback measurements,medium,
Focusrite,Scarlett,Scarlett 8i6 3rd Gen,2019-2023,legacy,USB 2,192,24,6 line out,108.5,-94,+15.5,430,limited,,medium,
Focusrite,Scarlett,Scarlett 18i8 3rd Gen,2019-2023,legacy,USB 2,192,24,8 line out,108.5,-94,+15.5,430,limited,,medium,
Focusrite,Scarlett,Scarlett 18i20 3rd Gen,2019-2023,legacy,USB 2,192,24,10 line out,108.5,-94,+15.5,430,available,Julian Krause,medium,
Focusrite,Scarlett,Scarlett Solo 4th Gen,2023-,current,USB 2,192,24,2 monitor out,120,-109,+16,100,available,Julian Krause/independent,high,headphone differs from larger models
Focusrite,Scarlett,Scarlett 2i2 4th Gen,2023-,current,USB 2,192,24,2 monitor out,120,-109,+16,100,available,Julian Krause/independent,high,
Focusrite,Scarlett,Scarlett 4i4 4th Gen,2023-,current,USB 2,192,24,4 line out,120,-112,+16,100,available,manufacturer AES17 plus independent tests,high,priority model
Focusrite,Scarlett,Scarlett 16i16 4th Gen,2024-,current,USB 2,192,24,8 line out,122,-112,+18,100,limited,,medium,
Focusrite,Scarlett,Scarlett 18i16 4th Gen,2024-,current,USB 2,192,24,10 line out,122,-112,+18,100,limited,,medium,
Focusrite,Scarlett,Scarlett 18i20 4th Gen,2024-,current,USB 2,192,24,10 line out,122,-112,+18,100,available,Julian Krause/independent,medium,
Focusrite,Saffire,Saffire,2005-2008,legacy,FireWire,192,24,multichannel line out,,,,,limited,RMAA archives,low,
Focusrite,Saffire,Saffire LE,2006-2009,legacy,FireWire,96,24,6 line out,,,,,limited,RMAA archives,low,
