catalog_index,catalog_model,status,curve_file_count,measurement_sources,accepted_measurement_names,caveat_or_reason,unresolved_candidates
0,Sennheiser HD 600,available,7,Auriculares Argentina; Filk; Headphone.com Legacy; Innerfidelity; Rtings; Super Review; oratory1990,Sennheiser HD 600,,
1,Sennheiser HD 650,available,6,Auriculares Argentina; Headphone.com Legacy; Innerfidelity; Kuulokenurkka; Rtings; oratory1990,Sennheiser HD 650,,
2,Sennheiser HD 800S,available,6,Auriculares Argentina; HypetheSonics; Innerfidelity; Rtings; kr0mka; oratory1990,Sennheiser HD 800S; Sennheiser HD 800 S,,
3,Sennheiser HD 25,available,1,Rtings,Sennheiser HD 25,,
4,Sennheiser HD 280 Pro,available,6,Auriculares Argentina; Filk; Headphone.com Legacy; Innerfidelity; Rtings; oratory1990,Sennheiser HD 280 Pro,,
5,Sennheiser HD 560S,available,6,Auriculares Argentina; HypetheSonics; Kuulokenurkka; Rtings; Super Review; oratory1990,Sennheiser HD 560S,,
6,Sennheiser HD 660 S,available,5,HypetheSonics; Innerfidelity; Rtings; Super Review; oratory1990,Sennheiser HD 660 S,,
7,Sennheiser HD 660S2,available,4,Filk; Kuulokenurkka; Rtings; oratory1990,Sennheiser HD 660S2,,
8,Sennheiser HD 620S,available,3,Kuulokenurkka; Rtings; oratory1990,Sennheiser HD 620S,,
9,Sennheiser HD 800,available,4,Headphone.com Legacy; Innerfidelity; Super Review; oratory1990,Sennheiser HD 800,,
10,Sennheiser HD 820,available,4,HypetheSonics; Rtings; Super Review; oratory1990,Sennheiser HD 820,,
11,Beyerdynamic DT 770 Pro,available,3,Auriculares Argentina; Rtings; oratory1990,Beyerdynamic DT 770 Pro,,
12,Beyerdynamic DT 880 Pro,available,3,Auriculares Argentina; Headphone.com Legacy; Innerfidelity,Beyerdynamic DT 880 Pro; Beyerdynamic DT 880 (250 Ohm),,
13,Beyerdynamic DT 990 Pro,available,4,Auriculares Argentina; Headphone.com Legacy; Rtings; oratory1990,Beyerdynamic DT 990 Pro,,
14,Beyerdynamic DT 1990 Pro,available,3,Rtings; oratory1990,Beyerdynamic DT 1990 Pro; Beyerdynamic DT 1990 (analytic earpads); Beyerdynamic DT 1990 (balanced earpads),,
15,Beyerdynamic DT 700 Pro X,available,3,Kuulokenurkka; Rtings; oratory1990,Beyerdynamic DT 700 Pro X,,
16,Beyerdynamic DT 900 Pro X,available,4,Kuulokenurkka; Rtings; Super Review; oratory1990,Beyerdynamic DT 900 Pro X,,
17,AKG K240 Studio,available,1,oratory1990,AKG K240 Studio,,
18,AKG K271 MkII,available,3,Headphone.com Legacy; Innerfidelity; oratory1990,AKG K271 MkII; AKG K271 MKII,,
19,AKG K361,available,3,Kuulokenurkka; Rtings; oratory1990,AKG K361,,
20,AKG K371,available,4,Filk; Rtings; Super Review; oratory1990,AKG K371,,
21,AKG K701,available,5,Auriculares Argentina; Headphone.com Legacy; Innerfidelity; Rtings; oratory1990,AKG K701,,
22,AKG K702,available,5,Auriculares Argentina; Headphone.com Legacy; Innerfidelity; Rtings; oratory1990,AKG K702,,
23,AKG K712 Pro,available,6,Headphone.com Legacy; Innerfidelity; Kuulokenurkka; Rtings; Super Review; oratory1990,AKG K712 Pro; AKG K712 PRO; AKG K712,,
24,Audio-Technica ATH-M20x,available,2,Rtings; oratory1990,Audio-Technica ATH-M20x,,
25,Audio-Technica ATH-M40x,available,3,Auriculares Argentina; Rtings; oratory1990,Audio-Technica ATH-M40x,,
26,Audio-Technica ATH-M50x,available,6,Auriculares Argentina; Headphone.com Legacy; Innerfidelity; Kuulokenurkka; Rtings; oratory1990,Audio-Technica ATH-M50x,,
27,Audio-Technica ATH-M60x,available,2,Rtings; oratory1990,Audio-Technica ATH-M60x,,
28,Audio-Technica ATH-M70x,available,3,Innerfidelity; Rtings; oratory1990,Audio-Technica ATH-M70x,,
29,Audio-Technica ATH-R70x,available,5,Auriculares Argentina; Innerfidelity; Kuulokenurkka; Rtings; oratory1990,Audio-Technica ATH-R70x,,
30,Sony MDR-7506,available,4,Headphone.com Legacy; Rtings; Super Review; oratory1990,Sony MDR-7506,,
31,Sony MDR-CD900ST,available,2,Super Review; oratory1990,Sony MDR-CD900ST,,
32,Sony MDR-MV1,available,3,Rtings; Super Review; oratory1990,Sony MDR-MV1,,
33,Focal Listen Pro,available,1,Auriculares Argentina,Focal Listen Pro; Focal Listen Professional,,
34,Focal Clear,available,3,HypetheSonics; Innerfidelity; oratory1990,Focal Clear,,
35,Focal Clear Mg,available,3,Kuulokenurkka; Rtings; oratory1990,Focal Clear Mg,,
36,Focal Utopia,available,4,HypetheSonics; Innerfidelity; Kuulokenurkka; oratory1990,Focal Utopia,,
37,Audeze LCD-2 Classic,available,4,Innerfidelity; Kuulokenurkka; Rtings; oratory1990,Audeze LCD-2 Classic,,
38,Audeze LCD-X,available,5,Auriculares Argentina; Headphone.com Legacy; HypetheSonics; Innerfidelity; Kuulokenurkka,Audeze LCD-X,,
39,Audeze LCD-XC,available,3,Headphone.com Legacy; Innerfidelity; oratory1990,Audeze LCD-XC,,
40,Audeze MM-100,available,3,Kuulokenurkka; Rtings; oratory1990,Audeze MM-100,,
41,Audeze MM-500,available,3,Kuulokenurkka; Super Review; oratory1990,Audeze MM-500,,
42,HIFIMAN Sundara,available,1,Super Review,HIFIMAN Sundara,,
43,HIFIMAN Ananda,available,5,Auriculares Argentina; Filk; Kuulokenurkka; Rtings; oratory1990,HIFIMAN Ananda,,
44,HIFIMAN Edition XS,available,4,Kuulokenurkka; Rtings; Super Review; oratory1990,HIFIMAN Edition XS,,
45,HIFIMAN HE400se,available,4,Auriculares Argentina; Kuulokenurkka; Rtings; oratory1990,HIFIMAN HE400se,,
46,Shure SRH440,available,6,Auriculares Argentina; Filk; Headphone.com Legacy; Innerfidelity; Rtings; oratory1990,Shure SRH440,,
47,Shure SRH840A,available,1,oratory1990,Shure SRH840A,,
48,Shure SRH1540,available,3,Headphone.com Legacy; Innerfidelity; oratory1990,Shure SRH1540,,
49,Shure SRH1840,available,4,Auriculares Argentina; Headphone.com Legacy; Innerfidelity; oratory1990,Shure SRH1840,,
50,Austrian Audio Hi-X60,available,3,Filk; Super Review; oratory1990,Austrian Audio Hi-X60,,
